customer_id,customer_name,gender_cd,gender,birth_day,age,postal_cd,address,application_store_cd,application_date,status_cd
CS019415000154,Yuki Umemura,9,Unknown,1971-07-08,47,179-0084,"Hikawadai, Nerima -ku, Tokyo",S13019,20150506,E-20101014-E
CS008514000047,Nozomi Ishikawa,1,Male,1962-04-03,56,201-0004,"Iwato Kita, Komae City, Tokyo",S13008,20150423,6-20100613-8
CS038615000025,Takamiko Koyanagi,1,Male,1955-06-29,63,134-0085,"Minami Kasai, Edogawa -ku, Tokyo",S13038,20141222,0-00000000-0
CS004615000296,Yu Tateishi,1,Male,1950-02-23,69,165-0027,"Nakano -ku, Tokyo Nomo",S13004,20160618,4-20080701-1
CS033515000071,Yuki Suwa,1,Male,1966-04-30,52,246-0031,"Seya -ku, Yokohama -shi, Kanagawa",S14033,20151129,D-20100930-D
CS041402000009,Tamura Yonizo,0,Female,1973-10-30,45,206-0022,"Seigaoka, Tama City, Tokyo",S13041,20180501,0-00000000-0
CS001603000084,Yoshimasa Koseki,0,Female,1956-08-02,62,144-0051,"Nishi -Kamata, Ota -ku, Tokyo",S13001,20170919,0-00000000-0
CS022515000271,Riho Nakagawa,1,Male,1966-08-27,52,249-0005,"Sakurayama, Zushi City, Kanagawa Prefecture",S14022,20181010,0-00000000-0
CS020412000046,An apricot of Kurosaki,1,Male,1971-12-09,47,174-0056,"Shimura, Itabashi -ku, Tokyo",S13020,20150820,1-20100516-3
CS002515000759,Tomosaka Rare,1,Male,1963-07-15,55,185-0013,"Kokubunji -shi, Tokyo Nishiki Kokubo",S13002,20171213,0-00000000-0
CS015212000021,Fujimura 7th,1,Male,1997-03-20,22,136-0071,"Kameido, Koto -ku, Tokyo",S13015,20150812,0-00000000-0
CS031514000047,Reiko Haraguchi,1,Male,1963-07-26,55,151-0064,"Uehara, Shibuya -ku, Tokyo",S13031,20150927,8-20090607-6
CS017513000183,Kyoko Suenaga,1,Male,1965-05-05,53,165-0027,"Nakano -ku, Tokyo Nomo",S13017,20151101,1-20090203-3
CS002412000619,Light of Noda,1,Male,1975-08-16,43,187-0013,"Mazutacho, Kodaira City, Tokyo",S13002,20170625,0-00000000-0
CS026712000035,Riko Nagata,1,Male,1942-06-12,76,253-0002,"Takada, Chigasaki City, Kanagawa Prefecture",S14026,20150526,0-00000000-0
CS044415000024,Chikako Sugino,1,Male,1977-06-02,41,144-0052,"Kamata, Ota -ku, Tokyo",S13044,20180519,6-20101016-9
CS024415000146,Sachiko Hosaka,1,Male,1977-10-31,41,214-0038,"Ikuta, Tama -ku, Kawasaki City, Kanagawa Prefecture",S14024,20150518,D-20101026-F
CS007502000011,Koji Asakura,0,Female,1962-07-28,56,285-0854,"Kamiza, Sakura City, Chiba Prefecture",S12007,20150328,0-00000000-0
CS012614000040,Maho Kameyama,1,Male,1951-09-24,67,231-0806,"Honmaki -cho, Naka -ku, Yokohama -shi, Kanagawa",S14012,20150607,0-00000000-0
CS011312000103,Kaoru Usami,1,Male,1985-08-22,33,211-0066,"Imai Nishi -cho, Nakahara -ku, Kawasaki -shi, Kanagawa",S14011,20150106,0-00000000-0
CS004415000861,Ryoko Omori,1,Male,1974-01-28,45,165-0032,"Saginomiya, Nakano -ku, Tokyo",S13004,20170525,0-00000000-0
CS028612000114,Reina Kawamoto,1,Male,1949-04-30,69,245-0016,"Izumi -cho, Izumi -ku, Yokohama -shi, Kanagawa",S14028,20151106,0-00000000-0
CS019511000020,Erika Kuramoto,1,Male,1966-01-03,53,173-0024,"Oyama Kanai -cho, Itabashi -ku, Tokyo",S13019,20160226,0-00000000-0
CS027315000019,Yuu Kawahara,1,Male,1983-10-26,35,251-0053,"Honmachi, Fujisawa City, Kanagawa Prefecture",S14027,20141224,0-00000000-0
CS025512000055,Mayuko Mizuguchi,1,Male,1966-01-15,53,242-0024,"Fukuda, Yamato City, Kanagawa Prefecture",S14025,20150108,4-20090705-4
CS005713000066,Cool in Ginjo,1,Male,1942-06-01,76,167-0031,"Motomonuma, Suginami -ku, Tokyo",S13005,20170402,0-00000000-0
CS016711000008,Ruria Tsuruta,1,Male,1946-07-26,72,187-0011,"Suzuki -cho, Kodaira, Tokyo",S13016,20150312,0-00000000-0
CS002402000002,Kotaro Kameda,0,Female,1970-10-01,48,187-0044,"Kiheicho, Kodaira City, Tokyo",S13002,20150725,0-00000000-0
CS003413000483,Sachiko Totsuka,1,Male,1977-05-18,41,201-0012,"Komae -shi, Tokyo Ikuwaki",S13003,20160711,0-00000000-0
CS035715000050,Yuki Iizuka,1,Male,1943-01-07,76,158-0081,"Fukasawa, Setagaya -ku, Tokyo",S13035,20150506,0-00000000-0
CS030713000033,Haruka Higuchi,1,Male,1940-05-09,78,272-0035,"Nitta, Ichikawa City, Chiba Prefecture",S12030,20141228,0-00000000-0
CS003412000408,Kamei Mahiru,1,Male,1975-05-03,43,182-0025,"Tama River, Chofu City, Tokyo",S13003,20160729,0-00000000-0
CS015415000242,Yoshino Masaki,1,Male,1977-09-11,41,136-0076,"Minami sand in Koto -ku, Tokyo",S13015,20161029,0-00000000-0
CS023315000156,Saki Takayama,1,Male,1988-03-28,31,212-0016,"Minamikai -cho, Sachi -ku, Kawasaki -shi, Kanagawa",S14023,20150223,0-00000000-0
CS011315000042,Aya Inagaki,1,Male,1982-02-04,37,223-0061,"Hiyoshi, Kohoku -ku, Yokohama -shi, Kanagawa",S14011,20150618,1-20080219-3
CS016612000085,Natsuki Takenaka,1,Male,1950-03-05,69,184-0015,"Nukii Kita -cho, Koganei -shi, Tokyo",S13016,20150819,0-00000000-0
CS007702000011,History of Takeshi Nagai,0,Female,1941-04-22,77,285-0866,"Usuidai, Sakura City, Chiba Prefecture",S12007,20150609,0-00000000-0
CS029503000041,Nakahara Subaru,0,Female,1966-02-13,53,134-0084,"Higashi Kasai, Edogawa -ku, Tokyo",S12029,20150222,0-00000000-0
CS005312000200,Kaoru Kurata,1,Male,1978-11-01,40,179-0075,"Takamatsu, Nerima -ku, Tokyo",S13005,20170524,0-00000000-0
CS023313000136,Mukai Mukai,1,Male,1981-11-25,37,212-0011,"Yuki -cho, Kawasaki -shi, Kanagawa",S14023,20150419,0-00000000-0
CS044611000004,Yoshino Kikuchi,1,Male,1949-07-12,69,143-0026,"Nishimagome, Ota -ku, Tokyo",S13044,20170921,0-00000000-0
CS001315000186,Mikako Tomita,1,Male,1979-11-13,39,144-0055,"Nakarokugo, Ota -ku, Tokyo",S13001,20150503,3-20080412-1
CS034704000005,Takahiro Gomi,0,Female,1940-06-20,78,216-0001,"Nogawa, Miyamae -ku, Kawasaki City, Kanagawa Prefecture",S14034,20150811,0-00000000-0
